Respiratory Seq ID	ABCTL CovSeq Code	Date	Location Code	QC	run	notes
I89147	AWMT4(2)	220809	ASU2	763221	282	
I89148	AWMT5(2)	220809	ASU3	254812	282	
I89149	AWMT6(2)	220809	ASU7	445774	282	
I89150	AWMT7(2)	220809	ASU8	944979	282	
I89151	AWMT8(2)	220809	ASU10	42	282	
I89152	AWMT9(2)	220809	ASU11	2442882	282	
I89153	AWMT10(2)	220809	ASU12	42810	282	
I89154	AWMT11(2)	220809	ASU15	302003	282	
I89155	AWMT12(2)	220809	ASU16	2996472	282	
I89156	AWMT13(2)	220810	ASU4	406759	282	
I89157	AWMT14(2)	220810	ASU9	1015062	282	
I89560	AWMT15(2)	220816	ASU1	9755033	284	
I89561	AWMT16(2)	220816	ASU5	3961531	284	
I89562	AWMT17(2)	220816	ASU6	4965919	284	
I89563	AWMT18(2)	220816	ASU2	85916	284	
I89564	AWMT19(2)	220816	ASU4	1773110	284	
I89565	AWMT20(2)	220816	ASU3	1597513	284	
I89566	AWMT21(2)	220816	ASU7	225211	284	
I89567	AWMT22(2)	220816	ASU8	9279588	284	
I89568	AWMT23(2)	220816	ASU9	5374117	284	
I89569	AWMT24(2)	220816	ASU10	113983	284	
I89570	AWMT25(2)	220816	ASU11	14445899	284	
I89571	AWMT26(2)	220816	ASU12	1513288	284	
I89572	AWMT27(2)	220816	ASU15	5103873	284	
I89573	AWMT28(2)	220816	ASU14	646638	284	
I89574	AWMT29(2)	220816	ASU16	345560	284	
I89575	AWMT30(2)	220816	ASU17	1375070	284	
I89576	AWMT31(2)	220822	ASU1	9778024	284	
I89577	AWMT32(2)	220822	ASU5	4633300	284	
I89578	AWMT33(2)	220822	ASU6	2312145	284	
I89579	AWMT34(2)	220822	ASU2	2855516	284	
I89580	AWMT35(2)	220822	ASU4	1841	284	
I89581	AWMT36(2)	220822	ASU3	2911034	284	
I89582	AWMT37(2)	220822	ASU7	11769338	284	
I89583	AWMT38(2)	220822	ASU8	582816	284	
I89584	AWMT39(2)	220822	ASU9	12924884	284	
I89585	AWMT40(2)	220822	ASU10	8660498	284	
I89586	AWMT41(2)	220822	ASU11	2593872	284	
I89587	AWMT42(2)	220822	ASU12	4	284	
I89588	AWMT43(2)	220822	ASU15	6560643	284	
I89589	AWMT44(2)	220822	ASU14	3355579	284	
I89590	AWMT45(2)	220822	ASU16	1205864	284	
I89591	AWMT46(2)	220822	ASU17	699877	284	
I90668	AWMT47(2)	220829	ASU1	2928216	289	
I90669	AWMT48(2)	220829	ASU5	12067340	289	
I90670	AWMT49(2)	220829	ASU6	7740719	289	
I90671	AWMT50(2)	220829	ASU2	1454688	289	
I90672	AWMT51(2)	220829	ASU4	9470755	289	
I90673	AWMT52(2)	220829	ASU3	19615836	289	
I90674	AWMT53(2)	220829	ASU7	12102770	289	
I90675	AWMT54(2)	220829	ASU8	21876704	289	
I90676	AWMT55(2)	220829	ASU9	5849950	289	
I90677	AWMT56(2)	220829	ASU10	9781076	289	
I90678	AWMT57(2)	220829	ASU11	5381742	289	
I90679	AWMT58(2)	220829	ASU12	9671791	289	
I90680	AWMT59(2)	220829	ASU15	4344812	289	
I90681	AWMT60(2)	220829	ASU14	30023	289	
I90682	AWMT61(2)	220829	ASU16	11482271	289	
I90683	AWMT62(2)	220829	ASU17	2739925	289	
I91668	AWMT63(2)	220906	ASU1	8288815	294	
I91669	AWMT64(2)	220906	ASU5	7919285	294	
I91670	AWMT65(2)	220906	ASU6	6300316	294	
I91671	AWMT66(2)	220906	ASU4	2381560	294	
I91672	AWMT67(2)	220906	ASU3	6946206	294	
I91673	AWMT68(2)	220906	ASU7	10829035	294	
I91674	AWMT69(2)	220906	ASU8	5508432	294	
I91675	AWMT70(2)	220906	ASU9	13056970	294	
I91676	AWMT71(2)	220906	ASU10	10225566	294	
I91677	AWMT72(2)	220906	ASU11	18785715	294	
I91678	AWMT73(2)	220906	ASU12	6146024	294	
I91679	AWMT74(2)	220906	ASU15	13442469	294	
I91680	AWMT75(2)	220906	ASU14	6065409	294	
I91681	AWMT76(2)	220906	ASU16	14007334	294	
I91682	AWMT77(2)	220906	ASU17	10867223	294	
I91683	AWMT78(2)	220912	ASU1	4382493	294	
I91684	AWMT79(2)	220912	ASU6	0	294	Sample Failed library build or sequencing
I91685	AWMT80(2)	220912	ASU2	3776513	294	
I91686	AWMT81(2)	220912	ASU4	1367717	294	
I91687	AWMT82(2)	220912	ASU3	19451731	294	
I91688	AWMT83(2)	220912	ASU7	6879150	294	
I91689	AWMT84(2)	220912	ASU8	3729255	294	
I91690	AWMT85(2)	220912	ASU9	2032623	294	
I91691	AWMT86(2)	220912	ASU10	5303645	294	
I91692	AWMT87(2)	220912	ASU11	6222321	294	
I91693	AWMT88(2)	220912	ASU12	16239128	294	
I91694	AWMT89(2)	220912	ASU15	0	294	Sample Failed library build or sequencing
I91695	AWMT90(2)	220912	ASU14	0	294	Sample Failed library build or sequencing
I91696	AWMT91(2)	220912	ASU16	8746500	294	
I91697	AWMT92(2)	220912	ASU17	4734573	294	
I91698	AWMT93(2)	220919	ASU1	22562997	294	
I91699	AWMT94(2)	220919	ASU5	7095540	294	
I91700	AWMT95(2)	220919	ASU6	12032107	294	
I91701	AWMT96(2)	220919	ASU2	6920228	294	
I91702	AWMT97(2)	220919	ASU4	8931903	294	
I91703	AWMT98(2)	220919	ASU3	4432498	294	
I91704	AWMT99(2)	220919	ASU7	6086246	294	
I91705	AWMT100(2)	220919	ASU8	13441709	294	
I91706	AWMT101(2)	220919	ASU9	4166849	294	
I91707	AWMT102(2)	220919	ASU10	7396823	294	
I91708	AWMT103(2)	220919	ASU11	9964035	294	
I91709	AWMT104(2)	220919	ASU12	1943818	294	
I91710	AWMT105(2)	220919	ASU15	1249766	294	
I91711	AWMT106(2)	220919	ASU14	4199630	294	
I91712	AWMT107(2)	220919	ASU16	3193345	294	
I91713	AWMT108(2)	220919	ASU17	2661077	294	
I92500	AWMT124(2)	221003	ASU1	8277704	301	
I92501	AWMT125(2)	221003	ASU5	11916630	301	
I92502	AWMT126(2)	221003	ASU6	18358197	301	
I92503	AWMT127(2)	221003	ASU2	332005	301	
I92504	AWMT128(2)	221003	ASU4	17462624	301	
I92505	AWMT129(2)	221003	ASU3	7899382	301	
I92506	AWMT130(2)	221003	ASU7	15173269	301	
I92507	AWMT131(2)	221003	ASU8	22669752	301	
I92508	AWMT132(2)	221003	ASU9	13360672	301	
I92509	AWMT133(2)	221003	ASU10	4586280	301	
I92510	AWMT134(2)	221003	ASU11	16677376	301	
I92511	AWMT135(2)	221003	ASU12	17132792	301	
I92512	AWMT136(2)	221003	ASU15	187775	301	
I92513	AWMT137(2)	221003	ASU14	22365092	301	
I92514	AWMT138(2)	221003	ASU16	36563632	301	
I92515	AWMT139(2)	221003	ASU17	26775699	301	
I93391	AWMT140(2)	221010	ASU1	1498210	308	
I93392	AWMT141(2)	221010	ASU5	5475196	308	
I93393	AWMT142(2)	221010	ASU6	947156	308	
I93394	AWMT143(2)	221010	ASU2	4839339	308	
I93395	AWMT144(2)	221010	ASU4	4310311	308	
I93396	AWMT145(2)	221010	ASU3	4185244	308	
I93397	AWMT146(2)	221010	ASU7	4396867	308	
I93398	AWMT147(2)	221010	ASU8	769948	308	
I93399	AWMT148(2)	221010	ASU9	1979903	308	
I93400	AWMT149(2)	221010	ASU10	4149599	308	
I93401	AWMT150(2)	221010	ASU11	4427349	308	
I93402	AWMT151(2)	221010	ASU12	8716187	308	
I93403	AWMT152(2)	221010	ASU15	3132586	308	
I93404	AWMT153(2)	221010	ASU14	4056657	308	
I93405	AWMT154(2)	221010	ASU16	4015404	308	
I93406	AWMT155(2)	221010	ASU17	5375390	308	
I93407	AWMT156(2)	221017	ASU1	8537977	308	
I93408	AWMT157(2)	221017	ASU5	10733639	308	
I93409	AWMT158(2)	221017	ASU6	2062231	308	
I93410	AWMT159(2)	221017	ASU2	2732155	308	
I93411	AWMT160(2)	221017	ASU4	889385	308	
I93412	AWMT161(2)	221017	ASU3	1656240	308	
I93413	AWMT162(2)	221017	ASU7	8291159	308	
I93414	AWMT163(2)	221017	ASU8	696291	308	
I93415	AWMT164(2)	221017	ASU9	10081319	308	
I93416	AWMT165(2)	221017	ASU10	14593001	308	
I93417	AWMT166(2)	221017	ASU11	2795489	308	
I93418	AWMT167(2)	221017	ASU12	6643343	308	
I93419	AWMT168(2)	221017	ASU15	2023374	308	
I93420	AWMT169(2)	221017	ASU14	2857016	308	
I93421	AWMT170(2)	221017	ASU16	13761678	308	
I93422	AWMT171(2)	221017	ASU17	8473203	308	
I93423	AWMT172(2)	221024	ASU1	1022138	308	
I93712	AWMT173(2)	221024	ASU5	5926593	309	
I93713	AWMT174(2)	221024	ASU6	5709809	309	
I93714	AWMT175(2)	221024	ASU2	6168146	309	
I93715	AWMT176(2)	221024	ASU4	1558810	309	
I93716	AWMT177(2)	221024	ASU3	6333225	309	
I93717	AWMT178(2)	221024	ASU7	2822333	309	
I93718	AWMT179(2)	221024	ASU8	5176398	309	
I93719	AWMT180(2)	221024	ASU9	2446143	309	
I93720	AWMT181(2)	221024	ASU10	3270417	309	
I93721	AWMT182(2)	221024	ASU11	4178251	309	
I93722	AWMT183(2)	221024	ASU12	3309426	309	
I93723	AWMT184(2)	221024	ASU15	6913151	309	
I93724	AWMT185(2)	221024	ASU14	4106233	309	
I93725	AWMT186(2)	221024	ASU16	598223	309	
I93726	AWMT187(2)	221024	ASU17	3240137	309	
I93727	AWMT188(2)	221031	ASU1	2070231	309	
I93728	AWMT189(2)	221031	ASU5	2558585	309	
I93729	AWMT190(2)	221031	ASU6	34082331	309	
I94980	AWMT191(2)	221031	ASU2	46994	314	
I94981	AWMT192(2)	221031	ASU4	124755	314	
I94982	AWMT193(2)	221031	ASU3	25001	314	
I94983	AWMT194(2)	221031	ASU7	16906	314	
I94984	AWMT195(2)	221031	ASU8	36727	314	
I94985	AWMT196(2)	221031	ASU9	12180	314	
I93730	AWMT197(2)	221031	ASU10	2436004	309	
