COVIDSeq_Seq_ID,External_ID,Date,Site,BQ.1.1,XBB.1.5,BQ.1,XBB,BA.5,BN.1,BF.7,BA.2.75,BA.5.2.6,BF.11,BA.4.6,BA.2,BA.2.75.2,BA.4,BA.1.1,B.1.1.529,BA.2.12.1,Delta,Other_recombinants,Other,Filtered_reads
I99431,AWMP16,230213,ASUP03,0.74720077,0,0,0.24579131,0,0,0,0.00103778,0,0,0,0,0,0,0,0,0,0,0,0,0.00597014
I99408,AWMT460,230227,ASUT09,0,0,0,0.22951638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76720032,0,0.0032833
I99435,AWMP20,230213,ASUP07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99718055,0,0.00281945
I99422,AWMP7,230206,ASUP01,0,0.99915676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00084324
I99441,AWMP26,230220,ASUP06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I99442,AWMP27,230220,ASUP07,0,0.99682637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00317363
I99432,AWMP17,230213,ASUP04,0,0.88759284,0,0,0.10892465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00348251
I99425,AWMP10,230206,ASUP04,0,0.00719512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99233893,0,0.00046595
I99421,AWMP6,230130,ASUP06,0,0.24862784,0,0.24941037,0,0,0,0.33255931,0,0,0,0,0,0,0,0,0,0,0.00127531,0.16580168,0.00232549
I99436,AWMP21,230220,ASUP01,0,0.99803068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00196932
I99418,AWMP3,230130,ASUP03,0,0.999795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000205
I99405,AWMT457,230227,ASUT03,0,0.99831383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168617
I99412,AWMT464,230227,ASUT15,0,0.99866362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133638
I99438,AWMP23,230220,ASUP03,0,0.5523987,0,0.21936061,0,0,0,0.2269583,0,0,0,0,0,0,0,0,0,0,0,0,0.00128239
I99416,AWMP1,230130,ASUP01,0,0.95459775,0,0.04302385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023784
I99401,AWMT453,230227,ASUT05,0,0.99938856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061144
I99428,AWMP13,230206,ASUP07,0,0.99897595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00102405
